CustomerID,VisitDate,VisitTime,StoreType,AmountSpent,MarketingCampaign,Promotion,FootTraffic,CustomerSatisfaction
45,2023-01-21,2023-01-01 18:00:00,Electronics,43.85,Yes,No,7067,4
46,2023-11-25,2023-01-01 17:00:00,Apparel,829.1,Yes,No,8735,5
47,2023-06-16,2023-01-01 19:00:00,Apparel,776.74,No,Yes,9844,4
48,2023-10-01,2023-01-01 20:00:00,Apparel,672.6,No,No,7010,1
49,2023-03-30,2023-01-01 17:00:00,Apparel,762.42,No,No,4464,4
50,2023-11-12,2023-01-01 12:00:00,Apparel,979.63,Yes,Yes,1007,2
51,2023-01-14,2023-01-01 20:00:00,Apparel,436.8,Yes,No,3551,3
52,2023-08-30,2023-01-01 09:00:00,Apparel,76.55,No,Yes,9347,2
53,2023-09-22,2023-01-01 09:00:00,Electronics,466.28,No,No,2240,4
54,2023-12-12,2023-01-01 20:00:00,Food,55.97,Yes,Yes,694,5
55,2023-02-22,2023-01-01 18:00:00,Apparel,301.31,No,No,8047,4
56,2023-12-06,2023-01-01 13:00:00,Electronics,591.01,Yes,No,1639,1
57,2023-04-02,2023-01-01 10:00:00,Food,316.53,Yes,No,8445,2
58,2023-09-21,2023-01-01 14:00:00,Food,688.54,Yes,No,9909,2
59,2023-02-04,2023-01-01 15:00:00,Apparel,823.77,No,Yes,7971,4
60,2023-07-25,2023-01-01 09:00:00,Electronics,426.23,No,No,7139,3
61,2023-03-22,2023-01-01 14:00:00,Apparel,901.14,Yes,No,7133,4
62,2023-02-19,2023-01-01 16:00:00,Electronics,89.04,Yes,No,517,3
63,2023-12-26,2023-01-01 20:00:00,Apparel,841.71,No,No,4448,4
64,2023-01-02,2023-01-01 13:00:00,Apparel,830.29,No,No,7011,2
65,2023-02-23,2023-01-01 20:00:00,Apparel,328.77,Yes,No,4507,3
66,2023-04-16,2023-01-01 15:00:00,Apparel,305.73,No,No,7042,1
67,2023-09-17,2023-01-01 18:00:00,Electronics,312.04,Yes,No,3963,3
68,2023-11-06,2023-01-01 14:00:00,Apparel,813.28,Yes,Yes,4630,5
69,2023-07-10,2023-01-01 12:00:00,Electronics,833.34,No,No,4132,1
70,2023-08-06,2023-01-01 15:00:00,Apparel,336.43,No,No,3525,4
71,2023-02-13,2023-01-01 18:00:00,Apparel,596.66,No,No,1105,5
72,2023-06-11,2023-01-01 17:00:00,Electronics,147.54,No,Yes,4460,1
73,2023-07-21,2023-01-01 18:00:00,Food,474.09,No,No,9323,4
74,2023-09-27,2023-01-01 18:00:00,Apparel,998.8,No,No,9309,3
75,2023-12-17,2023-01-01 15:00:00,Apparel,167.25,Yes,No,6350,4
76,2023-10-31,2023-01-01 20:00:00,Food,948.09,Yes,No,3079,2
77,2023-09-28,2023-01-01 13:00:00,Apparel,826.01,No,No,539,1
78,2023-08-03,2023-01-01 15:00:00,Food,972.49,No,No,1937,3
79,2023-09-09,2023-01-01 11:00:00,Electronics,187.78,No,No,3309,4
80,2023-07-09,2023-01-01 10:00:00,Apparel,221.38,No,Yes,994,3
81,2023-10-23,2023-01-01 19:00:00,Apparel,26.7,No,No,750,3
82,2023-08-01,2023-01-01 13:00:00,Apparel,727.45,No,No,7895,1
83,2023-07-27,2023-01-01 12:00:00,Apparel,647.65,Yes,No,9383,3
84,2023-08-25,2023-01-01 13:00:00,Food,186.28,No,No,7761,1
85,2023-12-04,2023-01-01 16:00:00,Electronics,793.23,No,Yes,5085,3
86,2023-02-22,2023-01-01 20:00:00,Electronics,306.2,No,No,2662,3
87,2023-10-07,2023-01-01 12:00:00,Electronics,143.65,Yes,Yes,9714,4
88,2023-08-05,2023-01-01 17:00:00,Apparel,428.34,No,No,6175,5
89,2023-09-09,2023-01-01 15:00:00,Electronics,100.06,No,No,4315,1
90,2023-07-07,2023-01-01 18:00:00,Apparel,270.61,Yes,Yes,3883,2
91,2023-02-10,2023-01-01 20:00:00,Electronics,377.62,Yes,No,154,1
92,2023-06-06,2023-01-01 15:00:00,Apparel,853.35,Yes,No,9385,3
93,2023-01-15,2023-01-01 16:00:00,Electronics,794.62,No,No,1617,5
94,2023-10-28,2023-01-01 20:00:00,Food,448.33,No,No,8647,1
95,2023-03-06,2023-01-01 14:00:00,Apparel,727.33,Yes,No,5687,3
96,2023-12-11,2023-01-01 16:00:00,Apparel,572.96,No,Yes,4969,2
97,2023-11-23,2023-01-01 11:00:00,Electronics,347.43,No,Yes,5107,4
98,2023-01-09,2023-01-01 18:00:00,Apparel,728.62,Yes,Yes,5941,4
99,2023-12-10,2023-01-01 18:00:00,Electronics,686.66,No,No,9552,1
100,2023-05-09,2023-01-01 09:00:00,Food,622.9,No,No,2365,1
101,2023-05-16,2023-01-01 14:00:00,Apparel,621.78,No,Yes,9015,2
102,2023-03-04,2023-01-01 09:00:00,Apparel,686.15,Yes,No,6224,4
103,2023-05-19,2023-01-01 17:00:00,Electronics,390.7,Yes,No,9585,3
104,2023-03-22,2023-01-01 10:00:00,Apparel,870.39,Yes,No,3489,1
105,2023-06-12,2023-01-01 19:00:00,Apparel,170.68,No,Yes,4459,5
106,2023-10-16,2023-01-01 10:00:00,Food,885.05,No,No,9792,4
107,2023-09-18,2023-01-01 15:00:00,Electronics,348.86,Yes,No,9357,3
108,2023-08-19,2023-01-01 10:00:00,Apparel,133.78,No,No,7285,4
109,2023-02-10,2023-01-01 18:00:00,Apparel,604.03,No,No,1937,2
110,2023-01-28,2023-01-01 16:00:00,Electronics,382.23,No,No,8723,5
111,2023-05-15,2023-01-01 14:00:00,Electronics,817.34,Yes,No,1919,3
112,2023-07-20,2023-01-01 15:00:00,Food,436.48,No,No,2477,3
113,2023-11-24,2023-01-01 15:00:00,Apparel,671.88,No,Yes,4471,1
114,2023-09-25,2023-01-01 14:00:00,Food,315.18,No,No,1545,2
115,2023-02-02,2023-01-01 18:00:00,Electronics,217.36,No,No,7180,2
116,2023-02-17,2023-01-01 19:00:00,Electronics,394.17,Yes,Yes,4922,3
117,2023-03-03,2023-01-01 17:00:00,Electronics,610.74,No,No,2003,4
118,2023-08-04,2023-01-01 17:00:00,Apparel,660.38,No,No,2015,3
119,2023-10-20,2023-01-01 15:00:00,Food,582.42,No,No,5367,3
120,2023-04-09,2023-01-01 17:00:00,Apparel,988.18,Yes,No,3221,3
121,2023-06-21,2023-01-01 18:00:00,Apparel,694.18,Yes,No,8876,3
122,2023-12-26,2023-01-01 11:00:00,Food,932.2,No,Yes,4065,3
123,2023-08-02,2023-01-01 11:00:00,Electronics,126.75,No,No,2252,3
124,2023-02-04,2023-01-01 09:00:00,Food,70.76,No,Yes,391,4
125,2023-08-15,2023-01-01 13:00:00,Electronics,317.88,No,Yes,6475,5
126,2023-04-11,2023-01-01 12:00:00,Apparel,145.22,No,No,5320,5
127,2023-05-11,2023-01-01 10:00:00,Food,530.61,No,No,6502,1
128,2023-09-14,2023-01-01 17:00:00,Apparel,523.79,No,No,9607,5
129,2023-01-05,2023-01-01 11:00:00,Food,579.3,No,No,9360,4
130,2023-08-06,2023-01-01 16:00:00,Apparel,747.78,No,Yes,5702,3
131,2023-09-12,2023-01-01 14:00:00,Food,971.62,No,No,7879,2
132,2023-12-25,2023-01-01 13:00:00,Apparel,879.48,No,No,3328,4
133,2023-10-10,2023-01-01 09:00:00,Electronics,127.18,Yes,No,7147,2
134,2023-07-26,2023-01-01 12:00:00,Food,345.13,No,No,9209,1
135,2023-01-15,2023-01-01 11:00:00,Apparel,263.26,Yes,Yes,4108,4
136,2023-12-12,2023-01-01 09:00:00,Electronics,185.05,No,No,7687,3
137,2023-02-11,2023-01-01 20:00:00,Food,549.28,No,No,7681,3
138,2023-06-28,2023-01-01 13:00:00,Electronics,557.73,No,No,4756,4
139,2023-03-04,2023-01-01 14:00:00,Food,234.97,No,Yes,1102,4
140,2023-12-18,2023-01-01 10:00:00,Apparel,714.78,No,No,4652,3
141,2023-08-19,2023-01-01 11:00:00,Apparel,735.59,No,Yes,1639,2
142,2023-08-29,2023-01-01 19:00:00,Apparel,30.77,Yes,No,8375,4
143,2023-02-21,2023-01-01 14:00:00,Apparel,401.8,No,No,2036,3
144,2023-04-06,2023-01-01 12:00:00,Apparel,891.24,No,No,3385,5
145,2023-08-10,2023-01-01 17:00:00,Electronics,525.12,No,No,3562,4
146,2023-08-19,2023-01-01 13:00:00,Apparel,354.15,No,No,2506,1
147,2023-08-25,2023-01-01 12:00:00,Apparel,261.14,No,No,5592,1
148,2023-05-23,2023-01-01 10:00:00,Apparel,250.92,No,No,1697,4
149,2023-06-20,2023-01-01 14:00:00,Food,108.77,No,Yes,8349,3
150,2023-01-29,2023-01-01 18:00:00,Electronics,819.05,No,No,6927,2
151,2023-02-05,2023-01-01 10:00:00,Apparel,95.79,No,No,6045,4
152,2023-01-13,2023-01-01 20:00:00,Food,299.37,Yes,No,3021,1
153,2023-06-09,2023-01-01 15:00:00,Apparel,55.22,No,Yes,7083,2
154,2023-11-23,2023-01-01 11:00:00,Food,783.57,Yes,Yes,6329,5
155,2023-07-06,2023-01-01 17:00:00,Electronics,48.89,No,No,7122,2
156,2023-08-31,2023-01-01 19:00:00,Apparel,315.22,Yes,No,9891,5
157,2023-03-27,2023-01-01 13:00:00,Electronics,577.56,No,No,6910,1
158,2023-10-11,2023-01-01 16:00:00,Electronics,415.47,No,No,7646,5
159,2023-03-07,2023-01-01 19:00:00,Apparel,289.45,No,No,6566,2
160,2023-06-19,2023-01-01 14:00:00,Food,282.44,No,Yes,4206,1
161,2023-02-14,2023-01-01 20:00:00,Apparel,799.81,No,No,4039,2
162,2023-03-03,2023-01-01 18:00:00,Apparel,974.24,No,No,7845,4
163,2023-05-14,2023-01-01 16:00:00,Apparel,354.56,No,No,8554,2
164,2023-10-11,2023-01-01 19:00:00,Apparel,48.75,No,No,7291,4
165,2023-01-28,2023-01-01 20:00:00,Apparel,46.2,No,Yes,5103,4
166,2023-04-18,2023-01-01 11:00:00,Food,761.62,No,No,8745,5
167,2023-02-13,2023-01-01 11:00:00,Apparel,556.85,Yes,No,9546,4
168,2023-12-06,2023-01-01 13:00:00,Apparel,785.76,Yes,No,3771,5
169,2023-10-13,2023-01-01 19:00:00,Electronics,700.52,Yes,No,6523,4
170,2023-11-27,2023-01-01 18:00:00,Food,908.43,No,No,8271,1
171,2023-05-08,2023-01-01 11:00:00,Food,886.97,No,No,298,5
172,2023-12-14,2023-01-01 16:00:00,Electronics,790.44,No,No,5997,2
173,2023-08-19,2023-01-01 18:00:00,Food,480.44,No,No,3914,5
174,2023-07-09,2023-01-01 20:00:00,Electronics,315.05,No,No,6075,1
175,2023-08-13,2023-01-01 16:00:00,Food,511.96,No,Yes,7550,4
176,2023-10-10,2023-01-01 10:00:00,Electronics,507.05,No,No,385,1
177,2023-05-01,2023-01-01 20:00:00,Apparel,614.17,Yes,No,1251,3
178,2023-04-26,2023-01-01 12:00:00,Apparel,194.24,No,No,9522,1
179,2023-08-21,2023-01-01 18:00:00,Electronics,659.06,No,No,357,1
180,2023-09-16,2023-01-01 09:00:00,Apparel,462.03,Yes,No,875,1
181,2023-12-25,2023-01-01 12:00:00,Apparel,624.0,Yes,Yes,8802,2
182,2023-07-17,2023-01-01 20:00:00,Electronics,247.21,No,No,800,2
183,2023-05-17,2023-01-01 19:00:00,Food,440.05,No,No,4336,1
184,2023-11-14,2023-01-01 12:00:00,Apparel,218.1,No,No,1077,3
185,2023-06-14,2023-01-01 18:00:00,Electronics,876.55,No,No,6136,3
186,2023-08-13,2023-01-01 17:00:00,Electronics,493.08,No,No,4935,5
187,2023-11-03,2023-01-01 11:00:00,Food,232.73,Yes,No,6350,1
188,2023-08-22,2023-01-01 10:00:00,Food,50.8,Yes,No,5861,5
189,2023-06-21,2023-01-01 17:00:00,Electronics,678.98,No,No,4066,4
190,2023-06-01,2023-01-01 17:00:00,Electronics,222.5,No,No,1975,3
191,2023-11-11,2023-01-01 09:00:00,Apparel,989.69,No,No,312,4
192,2023-06-09,2023-01-01 14:00:00,Electronics,538.36,Yes,No,5872,4
193,2023-04-06,2023-01-01 18:00:00,Electronics,296.09,Yes,No,4583,1
194,2023-08-21,2023-01-01 16:00:00,Food,661.1,Yes,No,7381,3
195,2023-06-29,2023-01-01 11:00:00,Electronics,282.47,No,No,9124,5
196,2023-04-23,2023-01-01 19:00:00,Apparel,822.07,No,Yes,7805,4
197,2023-11-14,2023-01-01 17:00:00,Electronics,315.15,Yes,No,897,1
198,2023-02-21,2023-01-01 10:00:00,Apparel,988.37,Yes,Yes,137,2
199,2023-09-25,2023-01-01 14:00:00,Apparel,609.09,Yes,No,9340,3
200,2023-10-22,2023-01-01 09:00:00,Apparel,845.97,No,No,7358,2
201,2023-04-23,2023-01-01 15:00:00,Apparel,82.09,No,No,9453,5
202,2023-04-11,2023-01-01 11:00:00,Food,354.82,Yes,No,7476,5
203,2023-04-23,2023-01-01 15:00:00,Apparel,740.11,No,No,4256,5
204,2023-03-22,2023-01-01 12:00:00,Apparel,658.51,No,Yes,4453,3
205,2023-07-06,2023-01-01 17:00:00,Food,202.3,No,No,234,4
206,2023-04-23,2023-01-01 13:00:00,Apparel,362.64,No,No,2483,1
207,2023-01-02,2023-01-01 11:00:00,Apparel,270.81,No,No,3172,4
208,2023-05-10,2023-01-01 16:00:00,Apparel,617.24,No,No,2873,3
209,2023-08-08,2023-01-01 14:00:00,Apparel,351.12,Yes,Yes,8377,2
210,2023-02-23,2023-01-01 10:00:00,Apparel,315.96,No,No,6910,1
211,2023-12-09,2023-01-01 11:00:00,Apparel,215.3,No,No,6815,5
212,2023-08-12,2023-01-01 16:00:00,Electronics,414.94,No,No,5767,2
213,2023-08-13,2023-01-01 18:00:00,Apparel,203.55,No,No,9092,4
214,2023-05-06,2023-01-01 15:00:00,Apparel,962.94,No,No,7668,1
215,2023-05-10,2023-01-01 18:00:00,Food,162.96,No,No,6056,5
216,2023-02-22,2023-01-01 14:00:00,Apparel,914.17,No,No,4102,1
217,2023-06-21,2023-01-01 09:00:00,Food,434.19,No,No,5686,4
218,2023-08-06,2023-01-01 17:00:00,Apparel,384.09,No,Yes,7118,3
219,2023-06-09,2023-01-01 11:00:00,Apparel,239.01,No,No,2322,4
220,2023-07-17,2023-01-01 13:00:00,Electronics,639.4,No,No,9157,3
221,2023-09-04,2023-01-01 15:00:00,Apparel,688.67,No,No,5820,5
222,2023-11-20,2023-01-01 15:00:00,Apparel,472.9,No,No,1182,4
223,2023-07-22,2023-01-01 11:00:00,Electronics,65.15,No,No,5792,4
224,2023-07-03,2023-01-01 12:00:00,Apparel,919.33,No,No,8697,4
225,2023-05-03,2023-01-01 18:00:00,Electronics,980.53,No,Yes,2634,4
226,2023-09-12,2023-01-01 15:00:00,Food,436.73,No,No,8574,3
227,2023-10-21,2023-01-01 16:00:00,Apparel,617.52,No,No,9028,3
228,2023-10-07,2023-01-01 10:00:00,Electronics,455.8,Yes,No,4651,2
229,2023-11-21,2023-01-01 17:00:00,Electronics,328.66,No,No,321,5
230,2023-04-08,2023-01-01 15:00:00,Food,86.55,Yes,No,3027,5
231,2023-07-17,2023-01-01 16:00:00,Food,461.51,Yes,No,7869,3
232,2023-08-28,2023-01-01 14:00:00,Food,820.2,No,No,9842,2
233,2023-05-24,2023-01-01 14:00:00,Apparel,26.86,No,No,2055,2
234,2023-04-07,2023-01-01 17:00:00,Electronics,586.29,Yes,Yes,8144,4
235,2023-07-20,2023-01-01 12:00:00,Apparel,881.96,No,Yes,815,2
236,2023-05-04,2023-01-01 19:00:00,Apparel,225.37,No,No,1164,5
237,2023-07-06,2023-01-01 19:00:00,Food,191.42,No,Yes,7696,1
238,2023-11-22,2023-01-01 13:00:00,Apparel,774.55,No,No,4975,3
239,2023-12-15,2023-01-01 17:00:00,Food,262.54,No,No,8999,4
240,2023-09-16,2023-01-01 09:00:00,Apparel,200.06,No,Yes,6493,2
241,2023-05-28,2023-01-01 12:00:00,Food,384.21,No,No,2854,3
242,2023-09-09,2023-01-01 15:00:00,Apparel,398.58,Yes,No,5827,3
243,2023-12-12,2023-01-01 19:00:00,Apparel,875.36,No,No,5949,3
244,2023-05-27,2023-01-01 17:00:00,Apparel,622.26,Yes,No,2151,5
245,2023-05-28,2023-01-01 19:00:00,Electronics,411.9,No,No,8740,4
246,2023-12-18,2023-01-01 20:00:00,Apparel,539.04,Yes,No,8802,1
247,2023-07-18,2023-01-01 18:00:00,Electronics,954.43,Yes,No,7784,4
248,2023-11-04,2023-01-01 14:00:00,Apparel,122.08,No,No,7141,2
249,2023-05-08,2023-01-01 20:00:00,Apparel,215.64,No,No,8337,4
250,2023-02-08,2023-01-01 16:00:00,Apparel,962.9,No,No,6369,5
251,2023-12-04,2023-01-01 17:00:00,Apparel,957.75,Yes,No,9452,1
252,2023-12-26,2023-01-01 18:00:00,Food,185.39,No,No,9963,4
253,2023-05-09,2023-01-01 12:00:00,Food,153.66,Yes,Yes,8093,2
254,2023-09-24,2023-01-01 09:00:00,Apparel,426.87,Yes,No,1994,4
255,2023-05-31,2023-01-01 16:00:00,Electronics,59.22,Yes,Yes,1266,5
256,2023-10-25,2023-01-01 10:00:00,Electronics,658.35,No,No,1549,3
257,2023-04-09,2023-01-01 19:00:00,Apparel,86.72,Yes,No,2497,5
258,2023-09-20,2023-01-01 09:00:00,Apparel,67.45,No,No,3606,5
259,2023-09-09,2023-01-01 15:00:00,Electronics,490.34,No,No,8569,5
260,2023-05-24,2023-01-01 20:00:00,Apparel,958.21,Yes,Yes,7361,1
261,2023-12-12,2023-01-01 18:00:00,Apparel,432.53,No,No,4056,4
262,2023-04-22,2023-01-01 17:00:00,Apparel,362.92,No,No,6573,2
263,2023-03-01,2023-01-01 19:00:00,Electronics,997.98,No,No,1573,3
264,2023-01-02,2023-01-01 20:00:00,Apparel,536.65,No,No,577,3
265,2023-10-31,2023-01-01 20:00:00,Apparel,381.49,No,No,7417,1
266,2023-09-11,2023-01-01 17:00:00,Apparel,392.0,No,No,7920,2
267,2023-05-20,2023-01-01 11:00:00,Apparel,203.01,No,No,8010,3
268,2023-02-06,2023-01-01 14:00:00,Apparel,517.1,No,Yes,609,2
269,2023-06-09,2023-01-01 15:00:00,Food,444.47,Yes,No,9048,2
270,2023-01-09,2023-01-01 18:00:00,Apparel,278.09,No,Yes,6034,4
271,2023-08-21,2023-01-01 17:00:00,Electronics,168.93,No,No,4226,1
272,2023-04-09,2023-01-01 10:00:00,Apparel,318.13,No,No,9692,5
273,2023-05-27,2023-01-01 16:00:00,Electronics,513.6,No,Yes,1161,5
274,2023-10-31,2023-01-01 15:00:00,Electronics,67.75,No,No,4746,3
275,2023-07-27,2023-01-01 12:00:00,Apparel,162.21,No,No,4871,3
276,2023-05-11,2023-01-01 10:00:00,Food,948.18,No,No,455,1
277,2023-06-01,2023-01-01 16:00:00,Apparel,547.43,No,No,3108,4
278,2023-02-23,2023-01-01 19:00:00,Food,72.81,Yes,No,4462,3
279,2023-04-30,2023-01-01 13:00:00,Apparel,696.16,No,Yes,389,3
280,2023-06-10,2023-01-01 14:00:00,Food,71.18,No,No,8040,2
281,2023-04-26,2023-01-01 19:00:00,Electronics,741.49,Yes,No,9335,1
282,2023-03-16,2023-01-01 15:00:00,Food,752.46,No,Yes,9807,5
283,2023-04-23,2023-01-01 18:00:00,Electronics,654.57,No,No,112,1
284,2023-04-14,2023-01-01 09:00:00,Apparel,734.88,Yes,No,6892,5
285,2023-12-06,2023-01-01 16:00:00,Electronics,97.09,No,No,488,2
286,2023-09-11,2023-01-01 12:00:00,Food,729.51,No,Yes,2057,4
287,2023-08-15,2023-01-01 17:00:00,Food,145.32,No,Yes,3777,5
288,2023-04-22,2023-01-01 09:00:00,Apparel,346.11,No,Yes,3519,2
289,2023-04-09,2023-01-01 19:00:00,Electronics,943.32,Yes,No,6441,4
290,2023-06-02,2023-01-01 10:00:00,Apparel,507.85,No,No,3340,2
291,2023-12-15,2023-01-01 14:00:00,Electronics,967.75,No,No,3855,4
292,2023-12-04,2023-01-01 19:00:00,Apparel,98.03,No,No,2304,3
293,2023-07-13,2023-01-01 18:00:00,Apparel,482.78,No,No,1447,4
294,2023-11-06,2023-01-01 19:00:00,Food,71.78,No,No,8242,5
295,2023-06-12,2023-01-01 09:00:00,Apparel,633.91,No,No,9511,4
296,2023-07-27,2023-01-01 12:00:00,Electronics,87.92,Yes,No,6513,1
297,2023-06-18,2023-01-01 16:00:00,Electronics,183.61,No,No,8353,4
298,2023-06-10,2023-01-01 18:00:00,Apparel,266.24,Yes,No,597,2
299,2023-03-09,2023-01-01 13:00:00,Apparel,751.26,No,No,7924,5
300,2023-10-16,2023-01-01 17:00:00,Electronics,172.32,No,Yes,9029,3
301,2023-10-04,2023-01-01 19:00:00,Apparel,848.17,No,No,6360,3
302,2023-10-31,2023-01-01 19:00:00,Food,140.58,No,No,1014,2
303,2023-05-15,2023-01-01 14:00:00,Food,44.89,No,No,5063,3
304,2023-07-14,2023-01-01 09:00:00,Apparel,401.09,No,No,3749,5
305,2023-05-08,2023-01-01 14:00:00,Apparel,979.65,No,No,2474,2
306,2023-02-02,2023-01-01 14:00:00,Apparel,119.24,No,No,5759,5
307,2023-06-25,2023-01-01 14:00:00,Electronics,110.7,No,No,6976,3
308,2023-01-22,2023-01-01 16:00:00,Apparel,753.65,No,No,7544,3
309,2023-08-26,2023-01-01 14:00:00,Apparel,319.04,Yes,No,6022,1
310,2023-06-07,2023-01-01 13:00:00,Electronics,720.11,No,No,2633,2
311,2023-02-07,2023-01-01 19:00:00,Food,208.01,No,No,6775,4
312,2023-08-18,2023-01-01 10:00:00,Apparel,465.47,Yes,No,1322,2
313,2023-02-20,2023-01-01 12:00:00,Apparel,272.64,No,No,6954,5
314,2023-09-21,2023-01-01 18:00:00,Food,457.01,No,No,7363,3
315,2023-10-10,2023-01-01 13:00:00,Electronics,771.41,No,Yes,8162,1
316,2023-01-27,2023-01-01 18:00:00,Electronics,764.39,Yes,No,188,2
317,2023-08-14,2023-01-01 12:00:00,Electronics,520.61,No,No,7785,5
318,2023-10-04,2023-01-01 10:00:00,Food,929.09,No,No,3094,1
319,2023-10-13,2023-01-01 15:00:00,Electronics,271.15,No,No,7166,1
320,2023-04-07,2023-01-01 18:00:00,Food,247.91,No,No,9973,1
321,2023-10-11,2023-01-01 18:00:00,Electronics,617.67,No,No,3681,3
322,2023-11-13,2023-01-01 10:00:00,Electronics,625.08,No,No,8815,5
323,2023-10-31,2023-01-01 09:00:00,Apparel,56.07,No,No,6518,1
324,2023-05-27,2023-01-01 13:00:00,Apparel,611.7,No,Yes,8756,3
325,2023-01-04,2023-01-01 20:00:00,Electronics,380.69,Yes,No,8946,3
326,2023-02-04,2023-01-01 09:00:00,Apparel,749.97,No,No,8744,3
327,2023-07-11,2023-01-01 09:00:00,Electronics,810.02,No,No,391,2
328,2023-02-18,2023-01-01 09:00:00,Apparel,556.63,No,No,7261,3
329,2023-01-17,2023-01-01 14:00:00,Food,11.69,Yes,No,3768,5
330,2023-06-21,2023-01-01 17:00:00,Apparel,640.0,No,No,1933,4
331,2023-08-08,2023-01-01 18:00:00,Food,751.39,No,No,3774,2
332,2023-06-07,2023-01-01 19:00:00,Electronics,256.49,No,No,2017,1
333,2023-02-15,2023-01-01 20:00:00,Apparel,470.0,No,No,3713,3
334,2023-01-06,2023-01-01 09:00:00,Electronics,966.07,Yes,No,1309,2
335,2023-04-09,2023-01-01 13:00:00,Apparel,305.13,No,Yes,8542,2
336,2023-08-21,2023-01-01 17:00:00,Apparel,230.92,No,No,2768,5
337,2023-02-06,2023-01-01 17:00:00,Apparel,218.75,No,No,1563,1
338,2023-10-07,2023-01-01 09:00:00,Apparel,563.21,Yes,No,3384,4
339,2023-12-15,2023-01-01 16:00:00,Food,950.29,Yes,No,8635,4
340,2023-10-29,2023-01-01 09:00:00,Apparel,612.6,No,No,4025,2
341,2023-06-30,2023-01-01 16:00:00,Electronics,310.29,Yes,No,7246,2
342,2023-04-05,2023-01-01 09:00:00,Apparel,642.18,No,No,5881,1
343,2023-04-09,2023-01-01 20:00:00,Electronics,628.59,No,No,5713,2
